"Country or Area","Year","Value"
"Australia","2017","103602.315960407"
"Australia","2016","102048.499975565"
"Australia","2015","101348.199103856"
"Australia","2014","100888.745879665"
"Australia","2013","102966.81842251"
"Australia","2012","103741.188233526"
"Australia","2011","104377.889187346"
"Australia","2010","102500.678280333"
"Australia","2009","104534.883913804"
"Australia","2008","105458.655456242"
"Australia","2007","107117.623076202"
"Australia","2006","107404.083113404"
"Australia","2005","107932.625754786"
"Australia","2004","106239.98267028"
"Australia","2003","104285.451624296"
"Australia","2002","109437.200092389"
"Australia","2001","111201.792880397"
"Australia","2000","112760.680971444"
"Australia","1999","109246.80426867"
"Australia","1998","113317.61583152"
"Australia","1997","114369.353939728"
"Australia","1996","111548.446926343"
"Australia","1995","111415.613537219"
"Australia","1994","112851.971973616"
"Australia","1993","116087.858345576"
"Australia","1992","119577.734900261"
"Australia","1991","120042.187136464"
"Australia","1990","120080.856304856"
"Austria","2017","6597.35153797196"
"Austria","2016","6617.43880289486"
"Austria","2015","6677.58585700372"
"Austria","2014","6750.13627630949"
"Austria","2013","6891.22607564033"
"Austria","2012","6948.49311118569"
"Austria","2011","7060.09333295395"
"Austria","2010","7255.66722564155"
"Austria","2009","7346.24453051727"
"Austria","2008","7417.68883327971"
"Austria","2007","7542.19840999606"
"Austria","2006","7647.79970106472"
"Austria","2005","7747.81801344089"
"Austria","2004","8034.61787940729"
"Austria","2003","8033.31961423"
"Austria","2002","8095.31162845329"
"Austria","2001","8236.39792444243"
"Austria","2000","8395.57400893123"
"Austria","1999","8561.91110384396"
"Austria","1998","8739.56334018241"
"Austria","1997","8916.96430467508"
"Austria","1996","9215.88448580754"
"Austria","1995","9518.29332328772"
"Austria","1994","9589.88706557539"
"Austria","1993","9877.12600660629"
"Austria","1992","9959.97853321319"
"Austria","1991","10242.8065247136"
"Austria","1990","10363.0230046192"
"Belarus","2017","16875.2763179093"
"Belarus","2016","16720.6848310871"
"Belarus","2015","16919.4185206249"
"Belarus","2014","16740.0698689512"
"Belarus","2013","16595.337383104"
"Belarus","2012","16187.8102662991"
"Belarus","2011","15877.5654309955"
"Belarus","2010","15981.5073298744"
"Belarus","2009","15458.913675943"
"Belarus","2008","15405.9637351278"
"Belarus","2007","14449.6692557802"
"Belarus","2006","14221.5857722895"
"Belarus","2005","13810.3083262105"
"Belarus","2004","14123.9845984937"
"Belarus","2003","13374.8500422755"
"Belarus","2002","13257.6233722451"
"Belarus","2001","13383.6078862263"
"Belarus","2000","13507.1130483787"
"Belarus","1999","13726.598953234"
"Belarus","1998","14160.2777998161"
"Belarus","1997","14199.5603369122"
"Belarus","1996","14218.4489176695"
"Belarus","1995","14311.2136765712"
"Belarus","1994","15084.2058902014"
"Belarus","1993","15857.0842122072"
"Belarus","1992","16781.0794233905"
"Belarus","1991","17912.1987072216"
"Belarus","1990","18743.7867640647"
"Belgium","2017","7973.02221008647"
"Belgium","2016","8073.47589736846"
"Belgium","2015","8098.93278324886"
"Belgium","2014","8142.64398434927"
"Belgium","2013","8243.02531145213"
"Belgium","2012","8391.47635585886"
"Belgium","2011","8524.90351966425"
"Belgium","2010","8788.8854221284"
"Belgium","2009","8834.28935000109"
"Belgium","2008","8900.25118245062"
"Belgium","2007","9102.78401567087"
"Belgium","2006","9160.69212853183"
"Belgium","2005","9256.33419194007"
"Belgium","2004","9498.87920206449"
"Belgium","2003","9550.46302515996"
"Belgium","2002","10126.7381008971"
"Belgium","2001","10558.2533978521"
"Belgium","2000","11007.7190225876"
"Belgium","1999","11451.3199388609"
"Belgium","1998","11707.739651554"
"Belgium","1997","11873.3842554831"
"Belgium","1996","11981.9606712235"
"Belgium","1995","12138.2727635842"
"Belgium","1994","12056.3126939656"
"Belgium","1993","12008.6026156318"
"Belgium","1992","12058.4526321011"
"Belgium","1991","12150.7648880039"
"Belgium","1990","12197.9060554127"
"Bulgaria","2017","6784.68630824074"
"Bulgaria","2016","7048.75513424912"
"Bulgaria","2015","7338.1753237553"
"Bulgaria","2014","7387.46334586906"
"Bulgaria","2013","7494.58921744912"
"Bulgaria","2012","7604.78691391676"
"Bulgaria","2011","7972.28697829979"
"Bulgaria","2010","7735.99824977811"
"Bulgaria","2009","7760.61455723864"
"Bulgaria","2008","8097.55359806172"
"Bulgaria","2007","8314.12980235538"
"Bulgaria","2006","8376.89854752639"
"Bulgaria","2005","8662.08959813476"
"Bulgaria","2004","9093.0132009482"
"Bulgaria","2003","9675.58463515865"
"Bulgaria","2002","9305.69855498924"
"Bulgaria","2001","9454.92785051155"
"Bulgaria","2000","10149.1547050738"
"Bulgaria","1999","10290.4446509946"
"Bulgaria","1998","10806.7797755785"
"Bulgaria","1997","11417.4832478246"
"Bulgaria","1996","11777.8017115356"
"Bulgaria","1995","11879.5608938931"
"Bulgaria","1994","11820.8025349304"
"Bulgaria","1993","13728.6638270118"
"Bulgaria","1992","14812.6056842213"
"Bulgaria","1991","15120.9349056893"
"Bulgaria","1990","16148.9891508302"
"Canada","2017","92847.9090259791"
"Canada","2016","93165.2874713834"
"Canada","2015","96240.7004355505"
"Canada","2014","98396.7902045715"
"Canada","2013","96294.6716752374"
"Canada","2012","94539.1275732639"
"Canada","2011","92409.9233839135"
"Canada","2010","92741.7095237062"
"Canada","2009","94764.2107722549"
"Canada","2008","101047.900189447"
"Canada","2007","104063.746435134"
"Canada","2006","105872.296169867"
"Canada","2005","105945.638807853"
"Canada","2004","107726.330831851"
"Canada","2003","107207.031962101"
"Canada","2002","109022.682521975"
"Canada","2001","110901.230641936"
"Canada","2000","112545.819332076"
"Canada","1999","112163.531926103"
"Canada","1998","112391.100925094"
"Canada","1997","110950.384869593"
"Canada","1996","109725.088733377"
"Canada","1995","106237.406166982"
"Canada","1994","101789.096100682"
"Canada","1993","97923.9528577763"
"Canada","1992","94835.9914904652"
"Canada","1991","90694.8743327608"
"Canada","1990","89031.9874524888"
"Croatia","2017","4108.25120575159"
"Croatia","2016","4223.5234281615"
"Croatia","2015","4102.65420612709"
"Croatia","2014","3928.10043085816"
"Croatia","2013","3918.13344547243"
"Croatia","2012","4105.16853338903"
"Croatia","2011","4178.93312654241"
"Croatia","2010","4191.48231614285"
"Croatia","2009","4099.42380652489"
"Croatia","2008","4006.53957699832"
"Croatia","2007","4001.3685154746"
"Croatia","2006","4001.47812438873"
"Croatia","2005","3886.55753787061"
"Croatia","2004","3928.06921412372"
"Croatia","2003","3752.65865336048"
"Croatia","2002","3615.35022073101"
"Croatia","2001","3610.91253799031"
"Croatia","2000","3523.62708793565"
"Croatia","1999","3588.43778089054"
"Croatia","1998","3568.72743062288"
"Croatia","1997","3603.04642369321"
"Croatia","1996","3654.98719300436"
"Croatia","1995","3662.48890437766"
"Croatia","1994","3715.84488925904"
"Croatia","1993","3926.62690859786"
"Croatia","1992","3858.82806669002"
"Croatia","1991","4289.86460001158"
"Croatia","1990","4423.83224234503"
"Cyprus","2017","863.987949106409"
"Cyprus","2016","845.964620478433"
"Cyprus","2015","815.515714135977"
"Cyprus","2014","799.342912701112"
"Cyprus","2013","799.521221486381"
"Cyprus","2012","805.950640398162"
"Cyprus","2011","817.02241124271"
"Cyprus","2010","812.565220946415"
"Cyprus","2009","805.852689343046"
"Cyprus","2008","805.781113046294"
"Cyprus","2007","808.075658992893"
"Cyprus","2006","805.477468678641"
"Cyprus","2005","804.368609174412"
"Cyprus","2004","821.778549761276"
"Cyprus","2003","826.856329565915"
"Cyprus","2002","835.356732609343"
"Cyprus","2001","811.635184344458"
"Cyprus","2000","780.515592684012"
"Cyprus","1999","764.555943871208"
"Cyprus","1998","761.733936644513"
"Cyprus","1997","760.786878676091"
"Cyprus","1996","757.265517024389"
"Cyprus","1995","740.831195618068"
"Cyprus","1994","720.111910158332"
"Cyprus","1993","707.397985269698"
"Cyprus","1992","683.431304103528"
"Cyprus","1991","665.720840112151"
"Cyprus","1990","654.582240710559"
"Czechia","2017","13510.8323761278"
"Czechia","2016","13701.1601530745"
"Czechia","2015","13926.6229304222"
"Czechia","2014","13865.7891956373"
"Czechia","2013","13868.7258478996"
"Czechia","2012","14449.5282134732"
"Czechia","2011","14466.2044522714"
"Czechia","2010","14432.8618550082"
"Czechia","2009","14232.437333059"
"Czechia","2008","14578.9000158836"
"Czechia","2007","14454.4119470934"
"Czechia","2006","14889.5225263514"
"Czechia","2005","14656.439273023"
"Czechia","2004","14282.2502270787"
"Czechia","2003","14701.5292759294"
"Czechia","2002","14689.1333081301"
"Czechia","2001","15109.7376562491"
"Czechia","2000","15351.1986487937"
"Czechia","1999","16173.3874007706"
"Czechia","1998","16902.5420310395"
"Czechia","1997","17587.5309608218"
"Czechia","1996","17995.5464260212"
"Czechia","1995","18145.424534619"
"Czechia","1994","18567.7944340115"
"Czechia","1993","19681.2290420227"
"Czechia","1992","20588.6281466917"
"Czechia","1991","21925.8052087962"
"Czechia","1990","23492.1429172961"
"Denmark","2017","6920.2589258703"
"Denmark","2016","6913.80262875211"
"Denmark","2015","6857.22631883927"
"Denmark","2014","6925.03609561594"
"Denmark","2013","6954.37314736616"
"Denmark","2012","7053.91140977123"
"Denmark","2011","7185.46865059728"
"Denmark","2010","7344.68629694738"
"Denmark","2009","7278.64823354342"
"Denmark","2008","7421.75104229128"
"Denmark","2007","7553.65493839946"
"Denmark","2006","7571.0826978643"
"Denmark","2005","7666.13284900273"
"Denmark","2004","7902.69944129138"
