"Country or Area","Year","Value"
"Australia","2017","417041.277910766"
"Australia","2016","413157.391667875"
"Australia","2015","402537.564873241"
"Australia","2014","393288.531798422"
"Australia","2013","398051.591105236"
"Australia","2012","406986.984923997"
"Australia","2011","404263.695076992"
"Australia","2010","406425.942052995"
"Australia","2009","408344.934977177"
"Australia","2008","405048.53717719"
"Australia","2007","400415.409416881"
"Australia","2006","392681.873174982"
"Australia","2005","386514.916662142"
"Australia","2004","383204.650915682"
"Australia","2003","369725.552790947"
"Australia","2002","362209.093829325"
"Australia","2001","357668.742790314"
"Australia","2000","350194.581777693"
"Australia","1999","344063.336207"
"Australia","1998","334684.106535041"
"Australia","1997","320794.696404265"
"Australia","1996","312361.209994883"
"Australia","1995","305409.799300553"
"Australia","1994","294014.610394374"
"Australia","1993","289234.856483038"
"Australia","1992","284912.12433001"
"Australia","1991","279872.363891333"
"Australia","1990","278424.375726354"
"Austria","2017","69978.846913737"
"Austria","2016","67314.8784011061"
"Austria","2015","66732.8619529379"
"Austria","2014","64467.3682319862"
"Austria","2013","68161.1797721496"
"Austria","2012","67577.1339873951"
"Austria","2011","70142.5597188225"
"Austria","2010","72228.2930742589"
"Austria","2009","67723.7824404299"
"Austria","2008","73727.000030091"
"Austria","2007","74468.9596356077"
"Austria","2006","77061.0351287342"
"Austria","2005","79394.8503275095"
"Austria","2004","77920.8336346621"
"Austria","2003","77799.0973792539"
"Austria","2002","72124.0062436435"
"Austria","2001","70274.6845414013"
"Austria","2000","66312.8424924796"
"Austria","1999","65737.0307819665"
"Austria","1998","67066.6527603813"
"Austria","1997","67463.6275623659"
"Austria","1996","67693.6389075961"
"Austria","1995","64268.2158523669"
"Austria","1994","61199.3463965323"
"Austria","1993","60806.1324938719"
"Austria","1992","60441.6032070013"
"Austria","1991","65931.4727198364"
"Austria","1990","62322.640684699"
"Belarus","2017","62699.202686838"
"Belarus","2016","60941.9983425066"
"Belarus","2015","59290.9860344353"
"Belarus","2014","63794.0648506728"
"Belarus","2013","64462.3021616954"
"Belarus","2012","63706.5873206377"
"Belarus","2011","62822.7331566906"
"Belarus","2010","63883.2867525045"
"Belarus","2009","61962.2374312952"
"Belarus","2008","66417.0285337928"
"Belarus","2007","64271.2058533069"
"Belarus","2006","64868.4937891781"
"Belarus","2005","62056.1140494498"
"Belarus","2004","60772.9380991423"
"Belarus","2003","57118.1606640652"
"Belarus","2002","55682.4919963138"
"Belarus","2001","55564.3208790437"
"Belarus","2000","55462.6146471645"
"Belarus","1999","56995.6645547372"
"Belarus","1998","59411.7863354427"
"Belarus","1997","62548.4848791334"
"Belarus","1996","59203.5079203084"
"Belarus","1995","57949.6008212873"
"Belarus","1994","64375.2495341916"
"Belarus","1993","77618.72443439"
"Belarus","1992","89993.7275459498"
"Belarus","1991","97043.6453025938"
"Belarus","1990","104138.513112564"
"Belgium","2017","97563.5674938616"
"Belgium","2016","98421.540453143"
"Belgium","2015","99753.2951581061"
"Belgium","2014","95906.4772109974"
"Belgium","2013","101578.965845189"
"Belgium","2012","101514.570230812"
"Belgium","2011","104319.177679598"
"Belgium","2010","113814.067664193"
"Belgium","2009","107699.337103253"
"Belgium","2008","120352.128477469"
"Belgium","2007","120444.865803485"
"Belgium","2006","123832.913776969"
"Belgium","2005","125519.712600874"
"Belgium","2004","128830.183314369"
"Belgium","2003","127806.431199691"
"Belgium","2002","126304.979684259"
"Belgium","2001","126119.618177144"
"Belgium","2000","126769.130391395"
"Belgium","1999","124702.99064172"
"Belgium","1998","130281.497383422"
"Belgium","1997","124042.51953785"
"Belgium","1996","129579.1540335"
"Belgium","1995","126080.410852888"
"Belgium","1994","124938.749065287"
"Belgium","1993","121555.27197814"
"Belgium","1992","122655.91005617"
"Belgium","1991","123543.2180581"
"Belgium","1990","120481.838502985"
"Bulgaria","2017","47401.6336208296"
"Bulgaria","2016","45257.9306287606"
"Bulgaria","2015","48094.7505016991"
"Bulgaria","2014","45090.1978914722"
"Bulgaria","2013","42565.6172235958"
"Bulgaria","2012","48268.9568476768"
"Bulgaria","2011","53118.3113063042"
"Bulgaria","2010","47794.3098456763"
"Bulgaria","2009","45706.3647752967"
"Bulgaria","2008","53973.9256659693"
"Bulgaria","2007","55637.291644336"
"Bulgaria","2006","51825.6038475993"
"Bulgaria","2005","50591.1162433289"
"Bulgaria","2004","49507.2305694322"
"Bulgaria","2003","50415.5179811062"
"Bulgaria","2002","46167.1347580046"
"Bulgaria","2001","48923.1129875795"
"Bulgaria","2000","45211.2121156324"
"Bulgaria","1999","46278.8847916629"
"Bulgaria","1998","53175.7554096749"
"Bulgaria","1997","55590.1948889333"
"Bulgaria","1996","57971.9918446665"
"Bulgaria","1995","57572.6317073105"
"Bulgaria","1994","55958.1450106709"
"Bulgaria","1993","57561.518968325"
"Bulgaria","1992","56917.8210195607"
"Bulgaria","1991","61125.8580396944"
"Bulgaria","1990","76541.762497576"
"Canada","2017","571138.877402137"
"Canada","2016","564068.415552438"
"Canada","2015","576756.85003884"
"Canada","2014","577359.551830737"
"Canada","2013","577346.377837406"
"Canada","2012","570157.633907986"
"Canada","2011","566674.475732014"
"Canada","2010","556420.246221338"
"Canada","2009","543067.901269711"
"Canada","2008","575453.992692163"
"Canada","2007","594732.073569329"
"Canada","2006","570811.279816887"
"Canada","2005","576858.582564607"
"Canada","2004","586468.797021774"
"Canada","2003","587492.139568039"
"Canada","2002","570551.849027002"
"Canada","2001","564230.929023693"
"Canada","2000","571507.345744584"
"Canada","1999","548939.005965273"
"Canada","1998","533101.024695008"
"Canada","1997","524433.394141764"
"Canada","1996","509693.638222082"
"Canada","1995","494241.052476842"
"Canada","1994","481647.064951882"
"Canada","1993","466577.680597953"
"Canada","1992","466707.557251374"
"Canada","1991","452534.619111236"
"Canada","1990","462502.179463326"
"Croatia","2017","18716.7708711867"
"Croatia","2016","18082.5305932112"
"Croatia","2015","17840.7117880251"
"Croatia","2014","17708.1283603443"
"Croatia","2013","18454.6553797602"
"Croatia","2012","19115.8657233887"
"Croatia","2011","20699.0362101239"
"Croatia","2010","21064.4915217581"
"Croatia","2009","21848.8842956676"
"Croatia","2008","23659.8599495445"
"Croatia","2007","24918.959186194"
"Croatia","2006","23602.9025916025"
"Croatia","2005","23383.8405481053"
"Croatia","2004","22924.7596144599"
"Croatia","2003","23277.5583738191"
"Croatia","2002","21925.1872738895"
"Croatia","2001","20817.1053797876"
"Croatia","2000","19699.202285556"
"Croatia","1999","20127.1433445098"
"Croatia","1998","19289.6071737505"
"Croatia","1997","18585.6418798293"
"Croatia","1996","17524.2309461101"
"Croatia","1995","16933.2895572641"
"Croatia","1994","16225.0494925765"
"Croatia","1993","16965.9139499312"
"Croatia","1992","16512.5060046327"
"Croatia","1991","17189.1796432379"
"Croatia","1990","23337.0970533159"
"Cyprus","2017","7538.49231846084"
"Cyprus","2016","7362.10464486559"
"Cyprus","2015","6956.58994780016"
"Cyprus","2014","6931.33825692313"
"Cyprus","2013","6550.82733430756"
"Cyprus","2012","7229.25560078243"
"Cyprus","2011","7760.33912968455"
"Cyprus","2010","8082.33024238736"
"Cyprus","2009","8443.90604653313"
"Cyprus","2008","8696.16267554207"
"Cyprus","2007","8527.51081932637"
"Cyprus","2006","8212.0893728762"
"Cyprus","2005","8021.48576720233"
"Cyprus","2004","7833.80147901035"
"Cyprus","2003","7598.82084460562"
"Cyprus","2002","7204.91094623578"
"Cyprus","2001","7015.91179900906"
"Cyprus","2000","7140.26185961049"
"Cyprus","1999","6890.62529447464"
