"Country or Area","Year","Value"
"Australia","2017","12252.9374779356"
"Australia","2016","11982.6006257075"
"Australia","2015","11801.6522571975"
"Australia","2014","10784.7526470715"
"Australia","2013","9867.31775136063"
"Australia","2012","9060.08945456757"
"Australia","2011","9148.67037475188"
"Australia","2010","8610.65588396102"
"Australia","2009","8109.07325168487"
"Australia","2008","6858.96362011689"
"Australia","2007","6066.18586627096"
"Australia","2006","5166.70568017775"
"Australia","2005","5002.7622515446"
"Australia","2004","4267.13653601783"
"Australia","2003","3578.89689637269"
"Australia","2002","2925.89829073234"
"Australia","2001","2307.10807856309"
"Australia","2000","1613.95320909026"
"Australia","1999","1374.53997863768"
"Australia","1998","998.289579795631"
"Australia","1997","705.228318135053"
"Australia","1996","414.17063782292"
"Australia","1995","1004.03211082861"
"Australia","1994","1027.34354927313"
"Australia","1993","1829.872"
"Australia","1992","1333.184"
"Australia","1991","1424.68352"
"Australia","1990","1424.68352"
"Austria","2017","1724.77361301596"
"Austria","2016","1632.19947272989"
"Austria","2015","1615.85985390194"
"Austria","2014","1586.61243814775"
"Austria","2013","1519.63273370759"
"Austria","2012","1492.35613238197"
"Austria","2011","1413.92689794688"
"Austria","2010","1485.66245409008"
"Austria","2009","1310.44035565183"
"Austria","2008","1249.71221818006"
"Austria","2007","1198.41302699172"
"Austria","2006","1155.23316080152"
"Austria","2005","1148.3280217843"
"Austria","2004","1160.21081066843"
"Austria","2003","1073.40827085611"
"Austria","2002","969.363617132006"
"Austria","2001","863.101238986877"
"Austria","2000","713.626554045867"
"Austria","1999","700.924890690691"
"Austria","1998","608.546964889657"
"Austria","1997","498.139986694405"
"Austria","1996","417.201579590825"
"Austria","1995","353.45085312042"
"Austria","1994","261.105590625578"
"Austria","1993","235.26478656483"
"Austria","1992","5.63648639172312"
"Austria","1991","3.88944"
"Austria","1990","2.43756"
"Belgium","2017","2805.38541117491"
"Belgium","2016","2835.70736351819"
"Belgium","2015","2886.51140224619"
"Belgium","2014","2892.5878446757"
"Belgium","2013","2778.82953229168"
"Belgium","2012","2778.92563976886"
"Belgium","2011","2659.13419488795"
"Belgium","2010","2549.05422068132"
"Belgium","2009","2431.92950456437"
"Belgium","2008","2271.87032609073"
"Belgium","2007","2144.11020117239"
"Belgium","2006","1923.39024115024"
"Belgium","2005","1789.9053643323"
"Belgium","2004","1732.71332625936"
"Belgium","2003","1651.72955512259"
"Belgium","2002","1461.87108734813"
"Belgium","2001","1226.84752143918"
"Belgium","2000","1144.09324989612"
"Belgium","1999","943.015150702884"
"Belgium","1998","872.146668507379"
"Belgium","1997","710.647533508612"
"Belgium","1996","585.85419975339"
"Belgium","1995","490.313894888383"
"Belgium","1994","489.62053934581"
"Belgium","1993","477.203669957195"
"Belgium","1992","477.203669957195"
"Bulgaria","2017","1817.89493323048"
"Bulgaria","2016","1399.9904499793"
"Bulgaria","2015","1222.10183237006"
"Bulgaria","2014","1107.95968186709"
"Bulgaria","2013","968.372474878974"
"Bulgaria","2012","823.140648346831"
"Bulgaria","2011","752.68182263632"
"Bulgaria","2010","663.046051551738"
"Bulgaria","2009","639.113284107228"
"Bulgaria","2008","625.89211168682"
"Bulgaria","2007","385.794825050179"
"Bulgaria","2006","297.105470434467"
"Bulgaria","2005","195.161822792268"
"Bulgaria","2004","119.921830332935"
"Bulgaria","2003","83.7448899466314"
"Bulgaria","2002","61.2998840883017"
"Bulgaria","2001","45.6749720819561"
"Bulgaria","2000","33.0239154018775"
"Bulgaria","1999","21.5942747737281"
"Bulgaria","1998","15.0698475767498"
"Bulgaria","1997","9.28261237252784"
"Bulgaria","1996","5.84327890930476"
"Bulgaria","1995","3.32842472977408"
"Bulgaria","1994","1.09677551311342"
"Bulgaria","1993","0.02303703221005"
"Bulgaria","1992","0.010681702317"
"Bulgaria","1991","0.003135561"
"Canada","2017","12573.4580447529"
"Canada","2016","12023.4086766913"
"Canada","2015","11047.1246650785"
"Canada","2014","10084.9768479853"
"Canada","2013","9440.55686929775"
"Canada","2012","9079.56061129903"
"Canada","2011","8599.04861159761"
"Canada","2010","7774.50014333435"
"Canada","2009","6808.34213432895"
"Canada","2008","6077.83257252832"
"Canada","2007","6036.19031510032"
"Canada","2006","5366.0893994779"
"Canada","2005","5098.0811456535"
"Canada","2004","4584.77356780635"
"Canada","2003","3979.85765304976"
"Canada","2002","3607.06766099863"
"Canada","2001","3159.2956287521"
"Canada","2000","2754.84203983593"
"Canada","1999","2160.36452105141"
"Canada","1998","1620.11150727323"
"Canada","1997","1122.30349100694"
"Canada","1996","810.624954718478"
"Canada","1995","460.505097239537"
"Canada","1992","829.7768"
"Canada","1991","1056.6608"
"Canada","1990","970.540192"
"Croatia","2017","488.706411670915"
"Croatia","2016","483.533987413175"
"Croatia","2015","482.495763070901"
"Croatia","2014","474.764968427948"
"Croatia","2013","469.186244065128"
"Croatia","2012","397.278784"
"Croatia","2011","396.195623"
"Croatia","2010","378.872252"
"Croatia","2009","341.3498735"
"Croatia","2008","338.0435281"
"Croatia","2007","326.7434916"
"Croatia","2006","292.5692587"
"Croatia","2005","265.803196"
"Croatia","2004","240.326632"
"Croatia","2003","212.229103"
"Croatia","2002","185.3357545"
"Croatia","2001","161.45912"
"Croatia","2000","147.900944"
"Croatia","1999","122.0819895"
"Croatia","1998","101.880601"
"Croatia","1997","71.933243"
"Croatia","1996","49.772275"
"Croatia","1995","29.319975"
"Cyprus","2017","249.564518358099"
"Cyprus","2016","245.28075957861"
"Cyprus","2015","250.454490726539"
"Cyprus","2014","213.030530729607"
"Cyprus","2013","214.831862295628"
"Cyprus","2012","222.12808377254"
"Cyprus","2011","219.43146991812"
"Cyprus","2010","245.647825743992"
"Cyprus","2009","224.51595966599"
