"Country or Area","Year","Value"
"European Union","2017","1666.08595760594"
"European Union","2016","1282.84124435297"
"European Union","2015","1230.73716322879"
"European Union","2014","1258.00014256039"
"European Union","2013","1354.46612742881"
"European Union","2012","1121.21570465726"
"European Union","2011","801.28854325026"
"European Union","2010","863.933779"
"European Union","2009","1501.866589"
"European Union","2008","1245.82744415372"
"European Union","2007","1135.623274981"
"European Union","2006","1235.51934030975"
"European Union","2005","1468.04619016"
"European Union","2004","1379.3990102044"
"European Union","2003","1584.71055298894"
"European Union","2002","2360.3978498701"
"European Union","2001","2274.3635068028"
"European Union","2000","2669.32640874144"
"European Union","1999","4477.36905383256"
"European Union","1998","4603.14303178359"
"European Union","1997","4708.34543004676"
"European Union","1996","4778.26648349907"
"European Union","1995","6200.515480285"
"European Union","1994","5844.79299961313"
"European Union","1993","5580.29159954071"
"European Union","1992","5587.13214981155"
"European Union","1991","5602.61834828552"
"European Union","1990","6069.4582523648"
"Germany","2017","796.9681212"
"Germany","2016","706.91068035"
"Germany","2015","729.485864"
"Germany","2014","729.0970238"
"Germany","2013","682.216227"
"Germany","2012","615.894414"
"Germany","2011","658.075384"
"Germany","2010","844.670018"
"Germany","2009","1482.602828"
"Germany","2008","1226.56368315372"
"Germany","2007","1116.359513981"
"Germany","2006","1216.25557930975"
"Germany","2005","1448.78242916"
"Germany","2004","1360.1352492044"
"Germany","2003","1565.44679198894"
"Germany","2002","2341.1340888701"
"Germany","2001","2255.0997458028"
"Germany","2000","2650.06264774144"
"Germany","1999","4458.10529283256"
"Germany","1998","4583.87927078359"
"Germany","1997","4689.08166904676"
"Germany","1996","4759.00272249907"
"Germany","1995","6181.251719285"
"Germany","1994","5844.79299961313"
"Germany","1993","5580.29159954071"
"Germany","1992","5587.13214981155"
"Germany","1991","5602.61834828552"
"Germany","1990","6069.4582523648"
"Italy","2017","19.263761"
"Italy","2016","19.263761"
"Italy","2015","19.263761"
"Italy","2014","19.263761"
"Italy","2013","19.263761"
"Italy","2012","19.263761"
"Italy","2011","19.263761"
"Italy","2010","19.263761"
"Italy","2009","19.263761"
"Italy","2008","19.263761"
"Italy","2007","19.263761"
"Italy","2006","19.263761"
"Italy","2005","19.263761"
"Italy","2004","19.263761"
"Italy","2003","19.263761"
"Italy","2002","19.263761"
"Italy","2001","19.263761"
"Italy","2000","19.263761"
"Italy","1999","19.263761"
"Italy","1998","19.263761"
"Italy","1997","19.263761"
"Italy","1996","19.263761"
"Italy","1995","19.263761"
"Spain","2017","849.85407540594"
"Spain","2016","556.66680300297"
"Spain","2015","481.98753822879"
"Spain","2014","509.63935776039"
"Spain","2013","652.98613942881"
"Spain","2012","486.05752965726"
"Spain","2011","123.94939825026"
"United States of America","2017","14023.680578173"
"United States of America","2016","12904.486502"
"United States of America","2015","11719.8219012"
"United States of America","2014","10448.6310532"
"United States of America","2013","9964.4271148"
"United States of America","2012","9526.7310376"
"United States of America","2011","9090.9290932"
"United States of America","2010","8642.7783464"
"United States of America","2009","8189.5891024"
"United States of America","2008","7734.4987264"
"United States of America","2007","7315.6244204"
"United States of America","2006","6904.6623688"
"United States of America","2005","6490.5924236"
"United States of America","2004","6109.1850892"
"United States of America","2003","5680.7608596"
"United States of America","2002","5141.8024152"
"United States of America","2001","4692.0433204"
"United States of America","2000","4709.61447"
"United States of America","1999","4862.622162"
"United States of America","1998","4646.3410992"
"United States of America","1997","4012.6430628"
"United States of America","1996","3287.8670316"
"United States of America","1995","1774.0972044"
"United States of America","1994","578.1908096"
"United States of America","1993","569.0535212"
"United States of America","1992","560.0414368"
"United States of America","1991","556.0929792"
"United States of America","1990","286.013192"

