"Country or Area","Year","Value"
"Australia","2017","20851.1843928617"
"Australia","2016","19172.496572653"
"Australia","2015","19143.9960132849"
"Australia","2014","19647.3665624199"
"Australia","2013","19213.9584767449"
"Australia","2012","20385.2234738642"
"Australia","2011","20048.2659817908"
"Australia","2010","19311.9138547085"
"Australia","2009","19418.9332179282"
"Australia","2008","19057.9942029209"
"Australia","2007","18781.3924693363"
"Australia","2006","20311.4995382511"
"Australia","2005","20362.7888731044"
"Australia","2004","20275.0036322877"
"Australia","2003","18615.9616954851"
"Australia","2002","19793.7300119447"
"Australia","2001","19263.3598572702"
"Australia","2000","18949.9112896144"
"Australia","1999","17992.3997940665"
"Australia","1998","17505.1560219074"
"Australia","1997","17265.0966348846"
"Australia","1996","16482.8185989238"
"Australia","1995","15236.4552810446"
"Australia","1994","15951.0065266514"
"Australia","1993","15487.2463689412"
"Australia","1992","15018.0449647382"
"Australia","1991","15192.1430231022"
"Australia","1990","15557.835012843"
"Austria","2017","3505.37090199908"
"Austria","2016","3582.22776140444"
"Austria","2015","3498.38986336778"
"Austria","2014","3498.92451139347"
"Austria","2013","3416.64275265749"
"Austria","2012","3422.18332588348"
"Austria","2011","3458.75610711713"
"Austria","2010","3365.59872347166"
"Austria","2009","3565.79342024801"
"Austria","2008","3786.68762847"
"Austria","2007","3606.43352804993"
"Austria","2006","3594.66225728339"
"Austria","2005","3590.49346806966"
"Austria","2004","3599.0555590285"
"Austria","2003","4185.1867318794"
"Austria","2002","4196.27574767898"
"Austria","2001","4193.98486064478"
"Austria","2000","4320.03448186164"
"Austria","1999","4341.52402620042"
"Austria","1998","4352.54827154108"
"Austria","1997","4306.95278285655"
"Austria","1996","4282.86051466151"
"Austria","1995","4254.17742862778"
"Austria","1994","4158.49256748687"
"Austria","1993","4206.25026062457"
"Austria","1992","4176.47032354276"
"Austria","1991","4364.38700821673"
"Austria","1990","4328.84729065473"
"Belarus","2017","14382.2573196367"
"Belarus","2016","13917.4647904543"
"Belarus","2015","13746.2375288648"
"Belarus","2014","14051.3410968359"
"Belarus","2013","14303.4606471666"
"Belarus","2012","14374.2993729625"
"Belarus","2011","14675.6713083273"
"Belarus","2010","13898.9791218781"
"Belarus","2009","14035.7735667579"
"Belarus","2008","13744.0073427917"
"Belarus","2007","13020.9552019655"
"Belarus","2006","13125.5416635686"
"Belarus","2005","12416.2349726323"
"Belarus","2004","12018.7645508125"
"Belarus","2003","11610.3859088931"
"Belarus","2002","10995.7259908597"
"Belarus","2001","12294.6228592475"
"Belarus","2000","12271.0458374338"
"Belarus","1999","12088.6073858678"
"Belarus","1998","12624.3144389742"
"Belarus","1997","12648.2679653097"
"Belarus","1996","12245.7206272805"
"Belarus","1995","11420.1808759711"
"Belarus","1994","12245.8716782062"
"Belarus","1993","13855.4252971054"
"Belarus","1992","14225.3236944677"
"Belarus","1991","15921.7681276726"
"Belarus","1990","16391.9865972765"
"Belgium","2017","5937.61052389302"
"Belgium","2016","5698.4326527831"
"Belgium","2015","5991.0541498801"
"Belgium","2014","6161.32762024211"
"Belgium","2013","6154.85343767939"
"Belgium","2012","6297.74738342438"
"Belgium","2011","6354.79732902038"
"Belgium","2010","7559.63866565394"
"Belgium","2009","7056.85526204687"
"Belgium","2008","6962.2838031777"
"Belgium","2007","6965.79701167247"
"Belgium","2006","7466.62502046254"
"Belgium","2005","8434.10249659121"
"Belgium","2004","8700.11648408335"
"Belgium","2003","8562.72823294923"
"Belgium","2002","9456.46773046818"
"Belgium","2001","9812.11087505333"
"Belgium","2000","10218.8052870116"
"Belgium","1999","10964.8590885364"
"Belgium","1998","10955.6986821774"
"Belgium","1997","11087.3506414625"
"Belgium","1996","11329.8978843712"
"Belgium","1995","10902.2147157904"
"Belgium","1994","10423.0336944399"
"Belgium","1993","10017.9523913733"
"Belgium","1992","9744.43885448096"
"Belgium","1991","9993.36441051767"
"Belgium","1990","10093.77728833"
"Bulgaria","2017","5345.41599508566"
"Bulgaria","2016","5359.77166100154"
"Bulgaria","2015","5035.58110757923"
"Bulgaria","2014","4925.06125611021"
"Bulgaria","2013","4463.79448506028"
"Bulgaria","2012","4066.20230402882"
"Bulgaria","2011","3991.59563799458"
"Bulgaria","2010","4337.5945024407"
"Bulgaria","2009","3854.37891850389"
"Bulgaria","2008","4247.16869139202"
"Bulgaria","2007","4013.15093114673"
"Bulgaria","2006","3977.0579978403"
"Bulgaria","2005","4450.24541240748"
"Bulgaria","2004","4613.39854630547"
"Bulgaria","2003","4010.37436595047"
"Bulgaria","2002","4176.88335464161"
"Bulgaria","2001","4246.98521951896"
"Bulgaria","2000","4166.68095270245"
"Bulgaria","1999","4093.09249811988"
"Bulgaria","1998","3930.60302866562"
"Bulgaria","1997","4765.61708270285"
"Bulgaria","1996","5010.44014220774"
"Bulgaria","1995","5145.35438933511"
"Bulgaria","1994","5314.57275104612"
"Bulgaria","1993","5464.27783047244"
"Bulgaria","1992","6051.05493486889"
"Bulgaria","1991","7166.34517257142"
"Bulgaria","1990","9154.66168812335"
"Canada","2017","38037.3971912594"
"Canada","2016","37233.0582014801"
"Canada","2015","36516.9734305311"
"Canada","2014","35741.4708736852"
"Canada","2013","36930.9711648478"
"Canada","2012","35007.8856776543"
"Canada","2011","33589.3663988725"
"Canada","2010","33367.7621158616"
"Canada","2009","34174.0018716418"
"Canada","2008","37399.0200386214"
"Canada","2007","35673.8448839413"
"Canada","2006","34881.8177108553"
"Canada","2005","37190.3261848"
"Canada","2004","38329.252727305"
"Canada","2003","36182.0259714208"
"Canada","2002","34687.8841996188"
"Canada","2001","34837.0944794216"
"Canada","2000","35891.907556991"
"Canada","1999","36332.4300287272"
"Canada","1998","38585.5143133657"
"Canada","1997","42280.3845017102"
"Canada","1996","43553.241938381"
"Canada","1995","41449.6732622942"
"Canada","1994","40902.2435807574"
"Canada","1993","37933.3542466601"
"Canada","1992","37931.4331344774"
"Canada","1991","37397.5301650965"
"Canada","1990","38895.5855304512"
"Croatia","2017","1699.62972416091"
"Croatia","2016","1588.85500269333"
"Croatia","2015","1816.33883082124"
"Croatia","2014","1644.96625989922"
"Croatia","2013","1706.5153089391"
"Croatia","2012","2288.22118263561"
"Croatia","2011","2505.38762675459"
"Croatia","2010","2440.89164271187"
"Croatia","2009","2198.73386952957"
"Croatia","2008","2832.95059541953"
"Croatia","2007","2533.44727957613"
"Croatia","2006","2484.1665160126"
"Croatia","2005","2463.10541532701"
"Croatia","2004","2521.13052965021"
"Croatia","2003","2260.47045151389"
"Croatia","2002","2357.4170324053"
"Croatia","2001","2455.08141174398"
"Croatia","2000","2478.52477960167"
"Croatia","1999","2363.02320987524"
"Croatia","1998","2137.92378646839"
"Croatia","1997","2492.97468798647"
"Croatia","1996","2305.86346618517"
"Croatia","1995","2300.53191758253"
"Croatia","1994","2386.48428109922"
"Croatia","1993","2352.99789835874"
"Croatia","1992","2732.39738862239"
"Croatia","1991","2697.86879395479"
"Croatia","1990","2846.74372252379"
"Cyprus","2017","293.054517610636"
"Cyprus","2016","287.81792513281"
"Cyprus","2015","280.483201490516"
"Cyprus","2014","272.869803713361"
"Cyprus","2013","277.69557033772"
"Cyprus","2012","303.636870775819"
"Cyprus","2011","304.613156688655"
"Cyprus","2010","318.076151728173"
"Cyprus","2009","300.915669799068"
"Cyprus","2008","309.015364696744"
"Cyprus","2007","320.95919324984"
"Cyprus","2006","327.163784983893"
"Cyprus","2005","313.356567151671"
"Cyprus","2004","339.628660120143"
"Cyprus","2003","380.367083763288"
"Cyprus","2002","381.724905857427"
"Cyprus","2001","377.079378442483"
"Cyprus","2000","345.439007052907"
"Cyprus","1999","356.179771146311"
"Cyprus","1998","371.033411503762"
"Cyprus","1997","343.174953704149"
"Cyprus","1996","348.510576878114"
"Cyprus","1995","373.294841914028"
"Cyprus","1994","331.171011511143"
"Cyprus","1993","337.572125754509"
"Cyprus","1992","317.897363704757"
"Cyprus","1991","287.055507834877"
"Cyprus","1990","285.74737730356"
"Czechia","2017","5837.72140865309"
"Czechia","2016","5911.58763919319"
"Czechia","2015","5664.58341259954"
"Czechia","2014","5688.08398022409"
"Czechia","2013","5450.67059562087"
"Czechia","2012","5486.19247035915"
"Czechia","2011","5544.80032245132"
"Czechia","2010","5328.98826528043"
"Czechia","2009","5533.44829738627"
"Czechia","2008","5923.20359772972"
"Czechia","2007","5782.17261139937"
"Czechia","2006","5817.28275838902"
"Czechia","2005","6002.60990542727"
"Czechia","2004","6176.90358373962"
"Czechia","2003","5707.98910975587"
"Czechia","2002","6107.76208595984"
"Czechia","2001","6364.68976831343"
"Czechia","2000","6365.04098979429"
"Czechia","1999","6234.90658338731"
"Czechia","1998","6420.81395932584"
"Czechia","1997","6552.05328591261"
"Czechia","1996","6628.46126408363"
"Czechia","1995","6850.31182628723"
"Czechia","1994","6487.85284745022"
"Czechia","1993","6614.28725225239"
"Czechia","1992","7394.85102539648"
"Czechia","1991","8278.40332110812"
"Czechia","1990","9612.73964868108"
"Denmark","2017","5472.65572601035"
"Denmark","2016","5384.88101780758"
"Denmark","2015","5246.83818012572"
"Denmark","2014","5258.60555666302"
"Denmark","2013","5119.52829037057"
"Denmark","2012","5139.15707781025"
