"Country or Area","Year","Value"
"Austria","2017","12.0056"
"Austria","2016","6.1404"
"Austria","2015","13.459"
"Austria","2014","10.56252"
"Austria","2013","9.7524"
"Austria","2012","8.56388"
"Austria","2011","4.1022"
"Austria","2010","4.11596"
"Austria","2009","4.5408"
"Austria","2008","53.47136"
"Austria","2007","59.3916"
"Austria","2006","32.7316"
"Austria","2005","28.1564"
"Austria","2004","26.5396"
"Austria","2003","21.555384"
"Austria","2002","10.5092"
"Austria","2001","10.5092"
"Austria","2000","10.5092"
"Austria","1999","8.236693877544"
"Austria","1998","9.430603636348"
"Austria","1997","15.52644"
"Austria","1996","7.92576"
"Austria","1995","6.43968"
"Austria","1994","0.75852"
"Belgium","2017","0.627112"
"Belgium","2016","0.71466"
"Belgium","2015","0.84968"
"Belgium","2014","0.68972"
"Belgium","2013","1.24184"
"Belgium","2012","1.118"
"Belgium","2011","2.47508"
"Belgium","2010","1.3244"
"Belgium","2009","0.5676"
"Belgium","2008","0.6708"
"Canada","2017","0.120084896"
"Canada","2016","0.120084896"
"Canada","2015","0.120084896"
"Canada","2014","0.120084896"
"Canada","2013","0.151044896"
"Canada","2012","0.151044896"
"Canada","2011","0.151044896"
"Canada","2010","0.151044896"
"Canada","2009","0.159715358724"
"Canada","2008","0.168385821276"
"Canada","2007","0.177056284"
"Canada","2006","0.185726746724"
"Canada","2005","0.194397209276"
"Canada","2004","0.203067672"
"Canada","2003","0.211738134724"
"Canada","2002","0.220408597276"
"Canada","2001","0.22907906"
"Canada","2000","0.237749522724"
"Canada","1999","0.246419985276"
"Canada","1998","0.255090448"
"Canada","1997","0.263760910724"
"Canada","1996","0.272431373276"
"Canada","1995","0.281101836"
"Canada","1994","0.289772298724"
"Canada","1993","0.298442761276"
"Canada","1992","0.307113224"
"Canada","1991","0.315783686724"
"Canada","1990","0.324454149276"
"Czechia","2017","2.74512"
"Czechia","2016","2.150344"
"Czechia","2015","2.150344"
"Czechia","2014","2.372568"
"Czechia","2013","1.408508"
"Czechia","2012","0.888896"
"Czechia","2011","0.591508"
"Czechia","2010","0.14706"
"European Union","2017","48.318492271712"
"European Union","2016","50.466604054164"
"European Union","2015","52.766256099324"
"European Union","2014","55.325931281068"
"European Union","2013","56.239539964148"
"European Union","2012","82.4695343511"
"European Union","2011","118.20617553434"
"European Union","2010","111.823584425172"
"European Union","2009","72.368271068128"
"European Union","2008","140.366764422208"
"European Union","2007","154.96996748804"
"European Union","2006","115.075506929852"
"European Union","2005","121.476006411044"
"European Union","2004","109.610905022812"
"European Union","2003","127.443371713224"
"European Union","2002","121.725674886532"
"European Union","2001","74.548815815064"
"European Union","2000","94.527972903148"
"European Union","1999","68.586585456612"
"European Union","1998","69.876321049096"
"European Union","1997","94.007674088744"
"European Union","1996","86.840695895448"
"European Union","1995","94.483330251892"
"European Union","1994","25.614030108916"
"European Union","1993","22.56722859624"
"European Union","1992","20.49071480848"
"European Union","1991","18.606229029928"
"European Union","1990","16.895889730364"
"France","2017","7.637445688"
"France","2016","5.838358196"
"France","2015","6.233806664"
"France","2014","6.3714992"
"France","2013","10.6296"
"France","2012","20.3992"
"France","2011","31.3556"
"France","2010","32.1296"
"France","2009","24.9572"
"France","2008","46.354"
"France","2007","42.1056"
"France","2006","29.756"
"France","2005","31.2696"
"France","2004","35.544820182568"
"France","2003","30.46698872794"
"France","2002","35.544820182568"
"France","2001","28.445694444368"
"France","2000","19.891693827152"
"France","1999","28.409592493876"
"France","1998","21.155172237272"
"France","1997","17.176894665864"
"France","1996","11.460804045004"
"France","1995","6.259923881192"
"France","1994","24.129661090956"
"France","1993","21.936055537264"
"France","1992","19.94186867024"
"France","1991","18.1289715184"
"France","1990","16.480883198436"
"Germany","2014","5.504"
"Germany","2013","6.192"
"Germany","2012","25.456"
"Germany","2011","51.6"
"Germany","2010","53.664"
"Germany","2009","24.08"
"Germany","2008","20.812"
"Germany","2007","3.956"
"Germany","2006","1.892"
"Ireland","2017","1.261333333276"
"Ireland","2016","0.961015872964"
"Ireland","2015","0.961015872964"
"Ireland","2014","0.961015872964"
"Ireland","2013","0.900952380936"
"Ireland","2012","0.78082539688"
"Ireland","2007","37.668"
"Ireland","2006","28.208"
"Ireland","2005","28.38"
"Ireland","2004","18.0772"
"Ireland","2003","46.6292"
"Ireland","2002","46.5776"
"Ireland","2001","21.7752"
"Ireland","2000","49.1748"
"Ireland","1999","3.787666666588"
