"Country or Area","Year","Value"
"Australia","2017","202.62553668"
"Australia","2016","224.924133892"
"Australia","2015","171.323657071029"
"Australia","2014","192.535990598746"
"Australia","2013","192.001235884438"
"Australia","2012","294.882946981773"
"Australia","2011","301.304839525102"
"Australia","2010","283.315234628066"
"Australia","2009","358.551981149097"
"Australia","2008","444.516693559401"
"Australia","2007","582.676819046088"
"Australia","2006","687.059841760489"
"Australia","2005","1791.70111972472"
"Australia","2004","1713.84870550831"
"Australia","2003","1683.98477494731"
"Australia","2002","1727.62315282097"
"Australia","2001","1801.88197415979"
"Australia","2000","1287.06178871158"
"Australia","1999","1139.05875745416"
"Australia","1998","1660.51882000668"
"Australia","1997","1228.1508980875"
"Australia","1996","1410.39505848126"
"Australia","1995","1530.83566492632"
"Australia","1994","2164.42874878371"
"Australia","1993","3315.52837602798"
"Australia","1992","4603.282544266"
"Australia","1991","4610.74329393256"
"Australia","1990","4607.01291909928"
"Austria","2017","44.08975"
"Austria","2016","50.39009"
"Austria","2015","49.549343"
"Austria","2014","53.028514"
"Austria","2013","49.22899"
"Austria","2012","50.715244"
"Austria","2011","73.51273"
"Austria","2010","78.048961"
"Austria","2009","36.02206"
"Austria","2008","208.1864855"
"Austria","2007","230.332465"
"Austria","2006","172.3869125"
"Austria","2005","163.2852"
"Austria","2004","157.57325"
"Austria","2003","126.38302"
"Austria","2002","101.974977939939"
"Austria","2001","116.337427939939"
"Austria","2000","87.86564"
"Austria","1999","79.1829096859275"
"Austria","1998","55.5311426684334"
"Austria","1997","117.471744"
"Austria","1996","80.25417"
"Austria","1995","83.34963"
"Austria","1994","70.956369"
"Austria","1993","63.52011"
"Austria","1992","510.473091"
"Austria","1991","1192.61742216"
"Austria","1990","1182.78680316"
"Belgium","2017","167.661335496018"
"Belgium","2016","658.640907247676"
"Belgium","2015","300.078713195469"
"Belgium","2014","307.0226194461"
"Belgium","2013","431.713576678463"
"Belgium","2012","278.398544248038"
"Belgium","2011","225.778114573546"
"Belgium","2010","106.989689315454"
"Belgium","2009","146.399146749801"
"Belgium","2008","253.694343406023"
"Belgium","2007","224.499180303538"
"Belgium","2006","200.25284046079"
"Belgium","2005","193.099328986547"
"Belgium","2004","378.54400237875"
"Belgium","2003","258.989072237877"
"Belgium","2002","101.056756156584"
"Belgium","2001","275.840256156584"
"Belgium","2000","446.1100272947"
"Belgium","1999","428.74688744057"
"Belgium","1998","843.866492939303"
"Belgium","1997","1528.91853903915"
"Belgium","1996","2766.91383"
"Belgium","1995","2914.28531"
"Belgium","1994","2637.36937"
"Belgium","1993","2195.90067"
"Belgium","1992","2284.7677"
"Belgium","1991","2096.42035"
"Belgium","1990","2191.04861"
"Bulgaria","2017","0.01964286440812"
"Bulgaria","2016","0.0233131664757"
"Bulgaria","2015","0.0276821474658"
"Bulgaria","2014","0.03288584829846"
"Bulgaria","2013","0.03908750327438"
"Bulgaria","2012","0.0464831354475"
"Bulgaria","2011","0.05530833855"
"Bulgaria","2010","0.063742887"
"Bulgaria","2009","0.05586741"
"Bulgaria","2008","0.0206622"
"Canada","2017","743.976298579046"
"Canada","2016","764.613228368557"
"Canada","2015","968.011795545881"
"Canada","2014","1088.13489420748"
"Canada","2013","1617.20007840781"
"Canada","2012","1798.72325561633"
"Canada","2011","1687.44883339861"
"Canada","2010","1859.26992241246"
"Canada","2009","2510.80966320042"
"Canada","2008","2601.85609786934"
"Canada","2007","2534.68419829166"
"Canada","2006","2986.11971707897"
"Canada","2005","3839.28998699275"
"Canada","2004","3522.38602990649"
"Canada","2003","3490.089842224"
"Canada","2002","3463.0382516265"
"Canada","2001","4047.54896200857"
"Canada","2000","4984.48972675684"
"Canada","1999","5370.33716115112"
"Canada","1998","6475.90532805522"
"Canada","1997","6373.66053121417"
"Canada","1996","6501.58724158749"
"Canada","1995","6346.94377367127"
"Canada","1994","6895.01718590777"
"Canada","1993","7455.58607952865"
"Canada","1992","7578.68575683796"
"Canada","1991","8033.11585908522"
"Canada","1990","7557.90185934868"
"Croatia","2012","0.0311699"
"Croatia","2011","0.016777"
"Croatia","2010","0.0339003"
"Croatia","2009","0.25788015"
"Croatia","1991","850.751424"
"Croatia","1990","1240.238592"
"Czechia","2017","1.36779296708972"
"Czechia","2016","1.44060124140858"
"Czechia","2015","1.93341021047982"
"Czechia","2014","3.02337579679129"
"Czechia","2013","4.07858482112376"
"Czechia","2012","6.18662587313335"
"Czechia","2011","8.24094484118512"
"Czechia","2010","48.0412375382553"
"Czechia","2009","45.4359800176875"
"Czechia","2008","39.7587722967264"
"Czechia","2007","29.0010818184774"
"Czechia","2006","31.0883355447616"
"Czechia","2005","14.8913195065416"
"Czechia","2004","12.8091362467456"
"Czechia","2003","8.55194127609341"
"Czechia","2002","16.3866504453712"
"Czechia","2001","9.74502110584814"
"Czechia","2000","4.68593898376519"
"Czechia","1999","1.09556437391085"
"Czechia","1998","1.65559796704289"
"Czechia","1997","1.72825406801251"
"Czechia","1996","0.6775259"
"Czechia","1995","0.00883"
"Denmark","2017","1.093501256"
"Denmark","2016","0.007929747125"
"Denmark","2015","0.01770644"
"Denmark","2014","2.6631205"
"Denmark","2013","3.695"
"Denmark","2012","3.3902"
"Denmark","2011","11.945514484375"
"Denmark","2010","17.058930287802"
"Denmark","2009","19.545038931676"
"Denmark","2008","18.444488645718"
"Denmark","2007","21.186794217955"
"Denmark","2006","21.150361908937"
"Denmark","2005","18.767038231956"
"Denmark","2004","20.534267704379"
"Denmark","2003","24.592389402758"
"Denmark","2002","28.013003919633"
"Denmark","2001","27.911832354461"
"Denmark","2000","22.567448283225"
"Denmark","1999","15.74457587025"
"Denmark","1998","11.4748565225"
"Denmark","1997","5.195285025"
"Denmark","1996","2.09337225"
"Denmark","1995","0.6335525"
"Denmark","1994","0.066225"
"Estonia","2008","0.04855617"
"Estonia","2007","0.0769093"
"Estonia","2006","0.09447217"
"European Union","2017","3178.87293682972"
"European Union","2016","3958.21109613718"
"European Union","2015","3443.76382375308"
"European Union","2014","3360.67311644008"
"European Union","2013","3812.08560486895"
"European Union","2012","3548.63549979635"
"European Union","2011","4087.83204234424"
"European Union","2010","3736.65819526555"
"European Union","2009","3218.65230749285"
"European Union","2008","5035.21039583261"
