"Country or Area","Year","Value"
"Australia","2017","176.220092571168"
"Australia","2016","185.846791160748"
"Australia","2015","170.938430537316"
"Australia","2014","155.168288343672"
"Australia","2013","141.831847215468"
"Australia","2012","147.495738677856"
"Australia","2011","140.785888401444"
"Australia","2010","142.744054617492"
"Australia","2009","146.99300178048"
"Australia","2008","163.324544933376"
"Australia","2007","175.12764878244"
"Australia","2006","186.068678687772"
"Australia","2005","196.215512499732"
"Australia","2004","230.664605103036"
"Australia","2003","229.114229424252"
"Australia","2002","225.095302791336"
"Australia","2001","218.795715845796"
"Australia","2000","212.426823897804"
"Australia","1999","211.289024822616"
"Australia","1998","240.20739509454"
"Australia","1997","266.773058813088"
"Australia","1996","289.097823057288"
"Australia","1995","316.214949739716"
"Australia","1994","295.606353272172"
"Australia","1993","276.868544891196"
"Australia","1992","258.112168812888"
"Australia","1991","239.342085079776"
"Australia","1990","220.559694348984"
"Austria","2017","399.029735049552"
"Austria","2016","392.836842522084"
"Austria","2015","309.547027502328"
"Austria","2014","313.130664632664"
"Austria","2013","304.869004501608"
"Austria","2012","311.879243598348"
"Austria","2011","307.348685361924"
"Austria","2010","335.87064445278"
"Austria","2009","341.678631780648"
"Austria","2008","373.434481907496"
"Austria","2007","367.006656851244"
"Austria","2006","453.462446283864"
"Austria","2005","493.62501427176"
"Austria","2004","484.006603106436"
"Austria","2003","549.44274524346"
"Austria","2002","613.300884015108"
"Austria","2001","629.325706574268"
"Austria","2000","574.528063982544"
"Austria","1999","676.368455025876"
"Austria","1998","869.88236663436"
"Austria","1997","1086.39697412542"
"Austria","1996","1176.89967521624"
"Austria","1995","1100.10771326827"
"Austria","1994","926.173535760612"
"Austria","1993","744.00313185318"
"Austria","1992","656.27178714552"
"Austria","1991","614.14044243786"
"Austria","1990","470.6083777302"
"Belarus","2017","2.90814"
"Belarus","2016","2.737026"
"Belarus","2015","2.515068"
"Belarus","2014","2.426946"
"Belarus","2013","2.5108728"
"Belarus","2012","2.460006"
"Belarus","2011","2.303598"
"Belarus","2010","2.097258"
"Belarus","2009","1.4529414"
"Belarus","2008","1.25343"
"Belarus","2007","0.541386"
"Belarus","2006","0.445968"
"Belarus","2005","0.3534"
"Belarus","2004","0.244644"
"Belarus","2003","0.16473"
"Belarus","2002","0.118104"
"Belarus","2001","0.11058"
"Belarus","2000","0.0969"
"Belarus","1999","0.088692"
"Belarus","1998","0.066234"
"Belarus","1997","0.057342"
"Belarus","1996","0.011172"
"Belarus","1995","0.00171"
"Belgium","2017","92.027599318188"
"Belgium","2016","94.665401039676"
"Belgium","2015","91.362907564308"
"Belgium","2014","95.218302166452"
"Belgium","2013","115.75442105304"
"Belgium","2012","110.428737472536"
"Belgium","2011","112.090345100676"
"Belgium","2010","102.026113985556"
"Belgium","2009","93.308721316284"
"Belgium","2008","86.883367131372"
"Belgium","2007","78.86347062"
"Belgium","2006","76.550394448644"
"Belgium","2005","90.687598278384"
"Belgium","2004","90.197697826608"
"Belgium","2003","101.928296529972"
"Belgium","2002","116.170836594324"
"Belgium","2001","139.21999334976"
"Belgium","2000","144.063813895272"
"Belgium","1999","153.662106212916"
"Belgium","1998","295.948628729232"
"Belgium","1997","538.848666822564"
"Belgium","1996","2059.62390688042"
"Belgium","1995","2139.73317111443"
"Belgium","1994","1977.73917111443"
"Belgium","1993","1635.46557111443"
"Belgium","1992","1699.62477111443"
"Belgium","1991","1539.77397111443"
"Belgium","1990","1622.03637111443"
"Bulgaria","2017","17.513936901528"
"Bulgaria","2016","18.747248217552"
"Bulgaria","2015","18.065559334536"
"Bulgaria","2014","16.877758121304"
"Bulgaria","2013","20.419376492784"
"Bulgaria","2012","16.095634023048"
"Bulgaria","2011","16.966935798924"
"Bulgaria","2010","18.76000333122"
"Bulgaria","2009","9.51519974388"
"Bulgaria","2008","9.158036327088"
"Bulgaria","2007","8.81427942954"
"Bulgaria","2006","8.483425822404"
"Bulgaria","2005","8.164991166876"
"Bulgaria","2004","8.133666290652"
"Bulgaria","2003","7.687775322048"
"Bulgaria","2002","7.266328281552"
"Bulgaria","2001","6.867985143396"
"Bulgaria","2000","6.491479341588"
"Bulgaria","1999","6.135613744344"
"Bulgaria","1998","5.799256847172"
"Bulgaria","1997","5.481339175032"
"Bulgaria","1996","5.180849881944"
"Bulgaria","1995","4.896833536644"
"Bulgaria","1994","4.628387085852"
"Bulgaria","1993","4.374656980788"
"Bulgaria","1992","4.134836465796"
"Bulgaria","1991","3.908163011292"
"Bulgaria","1990","3.693915889668"
"Canada","2017","407.494363936584"
"Canada","2016","472.262402221752"
"Canada","2015","462.303106894356"
"Canada","2014","419.941593949332"
"Canada","2013","432.879394721772"
"Canada","2012","440.15106722118"
"Canada","2011","418.535182557456"
"Canada","2010","455.214416334168"
"Canada","2009","373.869838533732"
"Canada","2008","644.333416990212"
"Canada","2007","726.19307674164"
"Canada","2006","1526.73967628596"
"Canada","2005","1417.36248040284"
"Canada","2004","2339.90088246041"
"Canada","2003","2651.43094731505"
"Canada","2002","3015.81125977883"
"Canada","2001","2557.10062751939"
"Canada","2000","2902.95965514968"
"Canada","1999","2410.09923133865"
"Canada","1998","2357.48211821587"
"Canada","1997","1827.63096609743"
"Canada","1996","1768.64579780718"
"Canada","1995","2275.15612704892"
"Canada","1994","2441.74031182459"
"Canada","1993","2373.54355097922"
"Canada","1992","2557.11274234271"
"Canada","1991","3685.23933466788"
"Canada","1990","3225.9221983891"
"Croatia","2017","6.3911592"
"Croatia","2016","6.3911592"
"Croatia","2015","5.2158192"
"Croatia","2014","6.76503816"
"Croatia","2013","6.0520092"
"Croatia","2012","9.1768632"
"Croatia","2011","9.3654192"
"Croatia","2010","8.9507328"
"Croatia","2009","8.02796094"
"Croatia","2008","11.976086365836"
"Croatia","2007","13.049277553896"
"Croatia","2006","13.0082322"
"Croatia","2005","13.0268712"
"Croatia","2004","12.5668812"
"Croatia","2003","12.2776062"
"Croatia","2002","12.0117012"
"Croatia","2001","11.6927862"
"Croatia","2000","11.6218212"
"Croatia","1999","11.9926062"
"Croatia","1998","11.9892432"
"Croatia","1997","11.4272232"
"Croatia","1996","11.5695522"
"Croatia","1995","11.1206772"
"Croatia","1994","10.6438722"
"Croatia","1993","10.5307272"
"Croatia","1992","10.4170122"
"Croatia","1991","10.3326522"
"Croatia","1990","10.4500722"
"Cyprus","2017","0.165308094"
"Cyprus","2016","0.165308094"
"Cyprus","2015","0.1640510844"
"Cyprus","2014","0.148329618"
"Cyprus","2013","0.1504382304"
"Cyprus","2012","0.1569652548"
"Cyprus","2011","0.1559444304"
"Cyprus","2010","0.1503504732"
"Cyprus","2009","0.1605399756"
"Cyprus","2008","0.1515890376"
"Cyprus","2007","0.1370733036"
"Cyprus","2006","0.12130626"
"Cyprus","2005","0.115000236"
"Cyprus","2004","0.1001253108"
"Cyprus","2003","0.0889859832"
"Cyprus","2002","0.0820897128"
"Cyprus","2001","0.076551114"
"Cyprus","2000","0.0762658176"
"Cyprus","1999","0.0651495636"
"Cyprus","1998","0.0673398684"
"Cyprus","1997","0.0695318832"
"Cyprus","1996","0.0659599212"
"Cyprus","1995","0.0581498268"
"Cyprus","1994","0.0503102976"
"Cyprus","1993","0.0385006272"
"Cyprus","1992","0.0342467856"
"Cyprus","1991","0.03008802"
"Cyprus","1990","0.0257666904"
"Czechia","2017","74.311763888352"
"Czechia","2016","78.629253649608"
"Czechia","2015","78.267316076976"
"Czechia","2014","79.903831048608"
"Czechia","2013","83.040795890364"
"Czechia","2012","92.4372829089"
"Czechia","2011","88.641427952472"
"Czechia","2010","82.761849410292"
"Czechia","2009","89.05359392784"
"Czechia","2008","88.667246760936"
"Czechia","2007","93.788450070636"
"Czechia","2006","105.116082947928"
"Czechia","2005","111.843088255332"
"Czechia","2004","120.614844634932"
"Czechia","2003","144.693841983336"
"Czechia","2002","121.27618465224"
"Czechia","2001","98.817171140028"
"Czechia","2000","108.398328531264"
"Czechia","1999","95.936417647764"
"Czechia","1998","94.975356597732"
"Czechia","1997","96.104532370692"
"Czechia","1996","98.306086980252"
"Czechia","1995","88.679165309772"
"Czechia","1994","87.662043720516"
"Czechia","1993","86.563972716228"
"Czechia","1992","85.407734264844"
"Czechia","1991","84.075457136124"
"Czechia","1990","84.239432361504"
"Denmark","2017","76.043342329332"
"Denmark","2016","104.410995066504"
"Denmark","2015","121.648153711188"
"Denmark","2014","154.595086929324"
"Denmark","2013","150.103605091236"
"Denmark","2012","129.662074983012"
"Denmark","2011","77.614036039788"
"Denmark","2010","37.1358562386"
"Denmark","2009","35.496804752376"
"Denmark","2008","30.506707574736"
"Denmark","2007","29.201362319928"
"Denmark","2006","34.504817423472"
"Denmark","2005","20.842722561468"
"Denmark","2004","31.64993446854"
"Denmark","2003","30.220379713452"
"Denmark","2002","24.067982726316"
"Denmark","2001","28.666321009992"
"Denmark","2000","56.916250944012"
"Denmark","1999","62.992154780448"
"Denmark","1998","57.792397489608"
"Denmark","1997","70.72029771066"
"Denmark","1996","59.318835181632"
"Denmark","1995","103.937057820864"
"Denmark","1994","118.11078585"
"Denmark","1993","97.96077"
"Denmark","1992","86.3265"
"Denmark","1991","61.0641"
"Denmark","1990","42.408"
"Estonia","2017","2.4371770212"
"Estonia","2016","2.5219052412"
"Estonia","2015","2.2358479368"
"Estonia","2014","2.0916317808"
"Estonia","2013","2.0088431568"
"Estonia","2012","1.8744797928"
"Estonia","2011","1.763224206"
"Estonia","2010","1.7227338912"
"Estonia","2009","1.36410804"
"Estonia","2008","1.28759466"
"Estonia","2007","0.922383804"
"Estonia","2006","1.10072928"
"Estonia","2005","1.0327462464"
"Estonia","2004","1.0378295064"
"Estonia","2003","1.2729820944"
"Estonia","2002","1.375176072"
"Estonia","2001","1.6698170064"
"Estonia","2000","2.610156312"
"Estonia","1999","2.881315572"
"Estonia","1998","2.848164372"
"Estonia","1997","2.850898092"
"Estonia","1996","3.333134052"
"Estonia","1995","3.0743691"
"Estonia","1994","2.967680775"
"Estonia","1993","1.38651645"
"Estonia","1992","0.090352125"
"Estonia","1991","0.0481878"
"European Union","2017","6725.32135609939"
"European Union","2016","6476.71616054574"
"European Union","2015","6227.79621004862"
"European Union","2014","5892.9498727191"
"European Union","2013","6081.9477966033"
"European Union","2012","6222.37321232504"
"European Union","2011","6113.7721140248"
"European Union","2010","6351.80350251809"
"European Union","2009","6324.7597425929"
"European Union","2008","6681.48839200506"
"European Union","2007","7009.20849448339"
"European Union","2006","7462.36329894112"
"European Union","2005","7871.27213368562"
"European Union","2004","8130.39629369743"
"European Union","2003","8106.29657694866"
"European Union","2002","8613.44872146692"
"European Union","2001","9757.73373694901"
"European Union","2000","10614.014004357"
"European Union","1999","10575.3448971537"
"European Union","1998","12877.3802088058"
"European Union","1997","13614.6773072309"
"European Union","1996","15098.7883751549"
"European Union","1995","15226.9933607986"
"European Union","1994","14220.6724100476"
"European Union","1993","13044.1077514581"
"European Union","1992","12356.5507447807"
"European Union","1991","11530.201129808"
"European Union","1990","11074.1390906263"
"Finland","2017","50.23427955"
"Finland","2016","48.02522859"
"Finland","2015","37.56102552"
"Finland","2014","34.25063652"
"Finland","2013","30.70041204"
"Finland","2012","22.15592964"
"Finland","2011","23.67410498868"
"Finland","2010","21.791502978144"
"Finland","2009","26.710521984108"
"Finland","2008","26.658888399588"
"Finland","2007","19.173863533092"
"Finland","2006","27.564248995128"
"Finland","2005","22.189085937624"
"Finland","2004","23.838093445812"
"Finland","2003","25.56814686"
"Finland","2002","25.33507386"
"Finland","2001","25.526260531296"
"Finland","2000","26.059706382048"
"Finland","1999","30.756944424084"
"Finland","1998","38.62456971456"
"Finland","1997","50.108159919528"
"Finland","1996","54.159349308492"
"Finland","1995","36.980164585872"
"Finland","1994","23.861008164012"
"Finland","1993","19.746911690172"
"Finland","1992","25.670926187016"
"Finland","1991","40.161744209988"
"Finland","1990","52.483297558872"
"France","2017","461.3514036579"
"France","2016","507.83398682544"
"France","2015","499.265259630252"
"France","2014","475.330327272708"
"France","2013","584.75443683528"
"France","2012","656.523412350024"
"France","2011","652.249458413112"
"France","2010","876.580997352024"
"France","2009","953.187438238548"
"France","2008","1137.9268005372"
"France","2007","1150.8794367612"
"France","2006","1254.0794999292"
"France","2005","1356.75316904545"
"France","2004","1613.0476552812"
"France","2003","1581.83095500696"
"France","2002","1599.63903327346"
"France","2001","1930.1699816604"
"France","2000","2376.50745181472"
"France","1999","2482.42395981169"
"France","1998","2760.93691205617"
"France","1997","2630.42009274278"
"France","1996","2636.26375429334"
"France","1995","2595.34838606923"
"France","1994","2559.63595458342"
"France","1993","2398.3330975049"
"France","1992","2345.96863706407"
"France","1991","2294.21921078014"
"France","1990","2218.50796460026"
"Germany","2017","3834.333929556"
"Germany","2016","3543.519715464"
"Germany","2015","3342.052325124"
"Germany","2014","3159.419912868"
"Germany","2013","3122.37872826"
"Germany","2012","3082.49207994"
"Germany","2011","3035.278688556"
"Germany","2010","3002.523959352"
"Germany","2009","2942.556629868"
"Germany","2008","2942.667402528"
"Germany","2007","3089.575184712"
"Germany","2006","3200.64440112"
"Germany","2005","3252.037504236"
"Germany","2004","3241.08975774"
"Germany","2003","3013.409687568"
"Germany","2002","3082.252280028"
"Germany","2001","3751.778684304"
"Germany","2000","4072.497783552"
"Germany","1999","4289.866189152"
